"TIME","GEO","CURRENCY","NACE_R2","Value","Flag and Footnotes"
"2015","EU28","MIO_EUR","TOTAL","13,242,085.50",""
"2015","EU28","MIO_EUR","B-E",":",""
"2015","EU28","MIO_EUR","F",":",""
"2015","BE","MIO_EUR","TOTAL","367,471.70",""
"2015","BE","MIO_EUR","B-E","61,829.00",""
"2015","BE","MIO_EUR","F","19,643.00",""
"2015","BE1","MIO_EUR","TOTAL","66,273.30",""
"2015","BE1","MIO_EUR","B-E","4,154.60",""
"2015","BE1","MIO_EUR","F","1,749.80",""
"2015","BE10","MIO_EUR","TOTAL","66,273.30",""
"2015","BE10","MIO_EUR","B-E","4,154.60",""
"2015","BE10","MIO_EUR","F","1,749.80",""
"2015","BE100","MIO_EUR","TOTAL","66,273.30",""
"2015","BE100","MIO_EUR","B-E","4,154.60",""
"2015","BE100","MIO_EUR","F","1,749.80",""
"2015","BE2","MIO_EUR","TOTAL","215,856.50",""
"2015","BE2","MIO_EUR","B-E","42,555.40",""
"2015","BE2","MIO_EUR","F","13,200.80",""
"2015","BE21","MIO_EUR","TOTAL","70,687.00",""
"2015","BE21","MIO_EUR","B-E","17,120.80",""
"2015","BE21","MIO_EUR","F","3,713.80",""
"2015","BE211","MIO_EUR","TOTAL","42,128.50",""
"2015","BE211","MIO_EUR","B-E","8,689.80",""
"2015","BE211","MIO_EUR","F","2,004.60",""
"2015","BE212","MIO_EUR","TOTAL","12,047.30",""
"2015","BE212","MIO_EUR","B-E","2,516.30",""
"2015","BE212","MIO_EUR","F","532.60",""
"2015","BE213","MIO_EUR","TOTAL","16,511.20",""
"2015","BE213","MIO_EUR","B-E","5,914.70",""
"2015","BE213","MIO_EUR","F","1,176.60",""
"2015","BE22","MIO_EUR","TOTAL","23,180.20",""
"2015","BE22","MIO_EUR","B-E","4,503.00",""
"2015","BE22","MIO_EUR","F","1,696.20",""
"2015","BE221","MIO_EUR","TOTAL","13,861.30",""
"2015","BE221","MIO_EUR","B-E","2,735.50",""
"2015","BE221","MIO_EUR","F","894.10",""
"2015","BE222","MIO_EUR","TOTAL","5,341.40",""
"2015","BE222","MIO_EUR","B-E","1,183.40",""
"2015","BE222","MIO_EUR","F","453.00",""
"2015","BE223","MIO_EUR","TOTAL","3,977.50",""
"2015","BE223","MIO_EUR","B-E","584.10",""
"2015","BE223","MIO_EUR","F","349.10",""
"2015","BE23","MIO_EUR","TOTAL","44,876.90",""
"2015","BE23","MIO_EUR","B-E","9,113.30",""
"2015","BE23","MIO_EUR","F","3,404.00",""
"2015","BE231","MIO_EUR","TOTAL","6,147.80",""
"2015","BE231","MIO_EUR","B-E","788.90",""
"2015","BE231","MIO_EUR","F","611.90",""
"2015","BE232","MIO_EUR","TOTAL","4,583.70",""
"2015","BE232","MIO_EUR","B-E","1,054.10",""
"2015","BE232","MIO_EUR","F","435.90",""
"2015","BE233","MIO_EUR","TOTAL","1,990.20",""
"2015","BE233","MIO_EUR","B-E","471.20",""
"2015","BE233","MIO_EUR","F","175.70",""
"2015","BE234","MIO_EUR","TOTAL","21,617.00",""
"2015","BE234","MIO_EUR","B-E","4,401.40",""
"2015","BE234","MIO_EUR","F","1,169.70",""
"2015","BE235","MIO_EUR","TOTAL","3,238.50",""
"2015","BE235","MIO_EUR","B-E","948.80",""
"2015","BE235","MIO_EUR","F","282.80",""
"2015","BE236","MIO_EUR","TOTAL","7,299.70",""
"2015","BE236","MIO_EUR","B-E","1,448.90",""
"2015","BE236","MIO_EUR","F","728.00",""
"2015","BE24","MIO_EUR","TOTAL","39,492.50",""
"2015","BE24","MIO_EUR","B-E","4,314.50",""
"2015","BE24","MIO_EUR","F","1,409.80",""
"2015","BE241","MIO_EUR","TOTAL","24,314.80",""
"2015","BE241","MIO_EUR","B-E","2,339.90",""
"2015","BE241","MIO_EUR","F","947.70",""
"2015","BE242","MIO_EUR","TOTAL","15,177.70",""
"2015","BE242","MIO_EUR","B-E","1,974.60",""
"2015","BE242","MIO_EUR","F","462.10",""
"2015","BE25","MIO_EUR","TOTAL","37,619.90",""
"2015","BE25","MIO_EUR","B-E","7,503.80",""
"2015","BE25","MIO_EUR","F","2,977.00",""
"2015","BE251","MIO_EUR","TOTAL","9,129.50",""
"2015","BE251","MIO_EUR","B-E","1,048.10",""
"2015","BE251","MIO_EUR","F","591.10",""
"2015","BE252","MIO_EUR","TOTAL","1,132.40",""
"2015","BE252","MIO_EUR","B-E","157.10",""
"2015","BE252","MIO_EUR","F","141.90",""
"2015","BE253","MIO_EUR","TOTAL","3,120.90",""
"2015","BE253","MIO_EUR","B-E","821.90",""
"2015","BE253","MIO_EUR","F","240.90",""
"2015","BE254","MIO_EUR","TOTAL","10,152.00",""
"2015","BE254","MIO_EUR","B-E","2,520.00",""
"2015","BE254","MIO_EUR","F","819.30",""
"2015","BE255","MIO_EUR","TOTAL","3,955.60",""
"2015","BE255","MIO_EUR","B-E","613.60",""
"2015","BE255","MIO_EUR","F","288.30",""
"2015","BE256","MIO_EUR","TOTAL","5,136.70",""
"2015","BE256","MIO_EUR","B-E","1,128.40",""
"2015","BE256","MIO_EUR","F","446.40",""
"2015","BE257","MIO_EUR","TOTAL","3,143.40",""
"2015","BE257","MIO_EUR","B-E","1,048.90",""
"2015","BE257","MIO_EUR","F","344.50",""
"2015","BE258","MIO_EUR","TOTAL","1,849.40",""
"2015","BE258","MIO_EUR","B-E","165.80",""
"2015","BE258","MIO_EUR","F","104.60",""
"2015","BE3","MIO_EUR","TOTAL","85,110.70",""
"2015","BE3","MIO_EUR","B-E","15,119.00",""
"2015","BE3","MIO_EUR","F","4,692.40",""
"2015","BE31","MIO_EUR","TOTAL","14,347.40",""
"2015","BE31","MIO_EUR","B-E","3,610.50",""
"2015","BE31","MIO_EUR","F","522.90",""
"2015","BE310","MIO_EUR","TOTAL","14,347.40",""
"2015","BE310","MIO_EUR","B-E","3,610.50",""
"2015","BE310","MIO_EUR","F","522.90",""
"2015","BE32","MIO_EUR","TOTAL","28,123.40",""
"2015","BE32","MIO_EUR","B-E","4,755.80",""
"2015","BE32","MIO_EUR","F","1,444.40",""
"2015","BE321","MIO_EUR","TOTAL","1,564.20",""
"2015","BE321","MIO_EUR","B-E","225.90",""
"2015","BE321","MIO_EUR","F","124.00",""
"2015","BE322","MIO_EUR","TOTAL","10,047.20",""
"2015","BE322","MIO_EUR","B-E","2,255.10",""
"2015","BE322","MIO_EUR","F","487.60",""
"2015","BE323","MIO_EUR","TOTAL","5,365.00",""
"2015","BE323","MIO_EUR","B-E","480.80",""
"2015","BE323","MIO_EUR","F","169.60",""
"2015","BE324","MIO_EUR","TOTAL","2,039.20",""
"2015","BE324","MIO_EUR","B-E","614.00",""
"2015","BE324","MIO_EUR","F","104.10",""
"2015","BE325","MIO_EUR","TOTAL","3,241.50",""
"2015","BE325","MIO_EUR","B-E","425.10",""
"2015","BE325","MIO_EUR","F","180.20",""
"2015","BE326","MIO_EUR","TOTAL","2,114.40",""
"2015","BE326","MIO_EUR","B-E","164.90",""
"2015","BE326","MIO_EUR","F","174.60",""
"2015","BE327","MIO_EUR","TOTAL","3,751.90",""
"2015","BE327","MIO_EUR","B-E","590.00",""
