"TIME","GEO","UNIT","Value"
"2015","EU28","Thousand","509,677"
"2015","BE","Thousand","11,238"
"2015","BE1","Thousand","1,181"
"2015","BE10","Thousand","1,181"
"2015","BE100","Thousand","1,181"
"2015","BE2","Thousand","6,461"
"2015","BE21","Thousand","1,819"
"2015","BE211","Thousand","1,030"
"2015","BE212","Thousand","336"
"2015","BE213","Thousand","452"
"2015","BE22","Thousand","862"
"2015","BE221","Thousand","422"
"2015","BE222","Thousand","239"
"2015","BE223","Thousand","201"
"2015","BE23","Thousand","1,482"
"2015","BE231","Thousand","284"
"2015","BE232","Thousand","198"
"2015","BE233","Thousand","83"
"2015","BE234","Thousand","548"
"2015","BE235","Thousand","123"
"2015","BE236","Thousand","245"
"2015","BE24","Thousand","1,118"
"2015","BE241","Thousand","620"
"2015","BE242","Thousand","498"
"2015","BE25","Thousand","1,180"
"2015","BE251","Thousand","280"
"2015","BE252","Thousand","51"
"2015","BE253","Thousand","106"
"2015","BE254","Thousand","286"
"2015","BE255","Thousand","155"
"2015","BE256","Thousand","149"
"2015","BE257","Thousand","92"
"2015","BE258","Thousand","61"
"2015","BE3","Thousand","3,596"
"2015","BE31","Thousand","395"
"2015","BE310","Thousand","395"
"2015","BE32","Thousand","1,336"
"2015","BE321","Thousand","86"
"2015","BE322","Thousand","430"
"2015","BE323","Thousand","258"
"2015","BE324","Thousand","75"
"2015","BE325","Thousand","189"
"2015","BE326","Thousand","151"
"2015","BE327","Thousand","147"
"2015","BE33","Thousand","1,097"
"2015","BE331","Thousand","112"
"2015","BE332","Thousand","620"
"2015","BE334","Thousand","79"
"2015","BE335","Thousand","209"
"2015","BE336","Thousand","76"
"2015","BE34","Thousand","279"
"2015","BE341","Thousand","61"
"2015","BE342","Thousand","47"
"2015","BE343","Thousand","56"
"2015","BE344","Thousand","62"
"2015","BE345","Thousand","53"
"2015","BE35","Thousand","488"
"2015","BE351","Thousand","109"
"2015","BE352","Thousand","312"
"2015","BE353","Thousand","66"
"2015","BG","Thousand","7,178"
"2015","BG3","Thousand","3,614"
"2015","BG31","Thousand","791"
"2015","BG311","Thousand","92"
"2015","BG312","Thousand","138"
"2015","BG313","Thousand","174"
"2015","BG314","Thousand","254"
"2015","BG315","Thousand","133"
"2015","BG32","Thousand","820"
"2015","BG321","Thousand","246"
"2015","BG322","Thousand","115"
"2015","BG323","Thousand","227"
"2015","BG324","Thousand","118"
"2015","BG325","Thousand","114"
"2015","BG33","Thousand","947"
"2015","BG331","Thousand","473"
"2015","BG332","Thousand","182"
"2015","BG333","Thousand","176"
"2015","BG334","Thousand","116"
"2015","BG34","Thousand","1,056"
"2015","BG341","Thousand","414"
"2015","BG342","Thousand","192"
"2015","BG343","Thousand","125"
"2015","BG344","Thousand","325"
"2015","BG4","Thousand","3,564"
"2015","BG41","Thousand","2,123"
"2015","BG411","Thousand","1,318"
"2015","BG412","Thousand","238"
"2015","BG413","Thousand","314"
"2015","BG414","Thousand","126"
"2015","BG415","Thousand","127"
"2015","BG42","Thousand","1,441"
"2015","BG421","Thousand","674"
"2015","BG422","Thousand","237"
"2015","BG423","Thousand","265"
"2015","BG424","Thousand","113"
"2015","BG425","Thousand","152"
"2015","BGZ","Thousand",":"
"2015","BGZZ","Thousand",":"
"2015","BGZZZ","Thousand",":"
"2015","CZ","Thousand","10,543"
"2015","CZ0","Thousand","10,543"
"2015","CZ01","Thousand","1,263"
"2015","CZ010","Thousand","1,263"
"2015","CZ02","Thousand","1,321"
"2015","CZ020","Thousand","1,321"
"2015","CZ03","Thousand","1,213"
"2015","CZ031","Thousand","637"
"2015","CZ032","Thousand","576"
