timestep,DE
2019-01-01T01:00:00+0100,41562
2019-01-01T02:00:00+0100,40100
2019-01-01T03:00:00+0100,38883
2019-01-01T04:00:00+0100,38806
2019-01-01T05:00:00+0100,38593
2019-01-01T06:00:00+0100,38140
2019-01-01T07:00:00+0100,38742
2019-01-01T08:00:00+0100,39256
2019-01-01T09:00:00+0100,42018
2019-01-01T10:00:00+0100,44533
2019-01-01T11:00:00+0100,47489
2019-01-01T12:00:00+0100,49261
2019-01-01T13:00:00+0100,48832
2019-01-01T14:00:00+0100,48595
2019-01-01T15:00:00+0100,48826
2019-01-01T16:00:00+0100,50626
2019-01-01T17:00:00+0100,53793
2019-01-01T18:00:00+0100,54371
2019-01-01T19:00:00+0100,53815
2019-01-01T20:00:00+0100,51609
2019-01-01T21:00:00+0100,49698
2019-01-01T22:00:00+0100,48859
2019-01-01T23:00:00+0100,46093
2019-01-02T00:00:00+0100,44318
2019-01-02T01:00:00+0100,42813
2019-01-02T02:00:00+0100,42318
2019-01-02T03:00:00+0100,41934
2019-01-02T04:00:00+0100,43607
2019-01-02T05:00:00+0100,46463
2019-01-02T06:00:00+0100,52329
2019-01-02T07:00:00+0100,57736
2019-01-02T08:00:00+0100,60956
2019-01-02T09:00:00+0100,62833
2019-01-02T10:00:00+0100,64259
2019-01-02T11:00:00+0100,65434
2019-01-02T12:00:00+0100,65705
2019-01-02T13:00:00+0100,64849
2019-01-02T14:00:00+0100,63278
2019-01-02T15:00:00+0100,63354
2019-01-02T16:00:00+0100,64290
2019-01-02T17:00:00+0100,68262
2019-01-02T18:00:00+0100,68159
2019-01-02T19:00:00+0100,66061
2019-01-02T20:00:00+0100,62543
2019-01-02T21:00:00+0100,59581
2019-01-02T22:00:00+0100,57599
2019-01-02T23:00:00+0100,53280
2019-01-03T00:00:00+0100,49918
2019-01-03T01:00:00+0100,48638
2019-01-03T02:00:00+0100,48082
2019-01-03T03:00:00+0100,47861
2019-01-03T04:00:00+0100,48411
2019-01-03T05:00:00+0100,50986
2019-01-03T06:00:00+0100,55857
2019-01-03T07:00:00+0100,60948
2019-01-03T08:00:00+0100,64162
2019-01-03T09:00:00+0100,65966
2019-01-03T10:00:00+0100,66379
2019-01-03T11:00:00+0100,67625
2019-01-03T12:00:00+0100,67794
2019-01-03T13:00:00+0100,66551
2019-01-03T14:00:00+0100,65506
2019-01-03T15:00:00+0100,64853
2019-01-03T16:00:00+0100,65985
2019-01-03T17:00:00+0100,69210
2019-01-03T18:00:00+0100,69159
2019-01-03T19:00:00+0100,67078
2019-01-03T20:00:00+0100,63478
2019-01-03T21:00:00+0100,60663
2019-01-03T22:00:00+0100,58350
2019-01-03T23:00:00+0100,55087
2019-01-04T00:00:00+0100,51718
2019-01-04T01:00:00+0100,49157
2019-01-04T02:00:00+0100,48594
2019-01-04T03:00:00+0100,48643
2019-01-04T04:00:00+0100,49409
2019-01-04T05:00:00+0100,51452
2019-01-04T06:00:00+0100,56643
2019-01-04T07:00:00+0100,62401
2019-01-04T08:00:00+0100,65584
2019-01-04T09:00:00+0100,67404
2019-01-04T10:00:00+0100,68173
2019-01-04T11:00:00+0100,68997
2019-01-04T12:00:00+0100,69469
2019-01-04T13:00:00+0100,68587
2019-01-04T14:00:00+0100,67122
2019-01-04T15:00:00+0100,66818
2019-01-04T16:00:00+0100,68104
2019-01-04T17:00:00+0100,69801
2019-01-04T18:00:00+0100,69105
2019-01-04T19:00:00+0100,66614
2019-01-04T20:00:00+0100,62098
2019-01-04T21:00:00+0100,59305
2019-01-04T22:00:00+0100,57794
2019-01-04T23:00:00+0100,53664
2019-01-05T00:00:00+0100,50780
2019-01-05T01:00:00+0100,48786
2019-01-05T02:00:00+0100,47649
2019-01-05T03:00:00+0100,47137
2019-01-05T04:00:00+0100,47921
2019-01-05T05:00:00+0100,47767
2019-01-05T06:00:00+0100,48420
2019-01-05T07:00:00+0100,50161
2019-01-05T08:00:00+0100,53621
2019-01-05T09:00:00+0100,56533
2019-01-05T10:00:00+0100,59117
2019-01-05T11:00:00+0100,60729
2019-01-05T12:00:00+0100,60826
2019-01-05T13:00:00+0100,59456
2019-01-05T14:00:00+0100,58131
2019-01-05T15:00:00+0100,57920
2019-01-05T16:00:00+0100,58847
2019-01-05T17:00:00+0100,61595
2019-01-05T18:00:00+0100,61433
2019-01-05T19:00:00+0100,59791
2019-01-05T20:00:00+0100,56066
2019-01-05T21:00:00+0100,53525
2019-01-05T22:00:00+0100,52340
2019-01-05T23:00:00+0100,48703
2019-01-06T00:00:00+0100,45590
2019-01-06T01:00:00+0100,43535
2019-01-06T02:00:00+0100,42181
2019-01-06T03:00:00+0100,41981
2019-01-06T04:00:00+0100,41903
2019-01-06T05:00:00+0100,41300
2019-01-06T06:00:00+0100,40917
2019-01-06T07:00:00+0100,42040
2019-01-06T08:00:00+0100,44988
2019-01-06T09:00:00+0100,48812
2019-01-06T10:00:00+0100,51933
2019-01-06T11:00:00+0100,54497
2019-01-06T12:00:00+0100,55033
2019-01-06T13:00:00+0100,53673
2019-01-06T14:00:00+0100,53219
2019-01-06T15:00:00+0100,52240
2019-01-06T16:00:00+0100,53738
2019-01-06T17:00:00+0100,57201
2019-01-06T18:00:00+0100,58107
2019-01-06T19:00:00+0100,56663
2019-01-06T20:00:00+0100,54371
2019-01-06T21:00:00+0100,52443
2019-01-06T22:00:00+0100,52249
2019-01-06T23:00:00+0100,49497
2019-01-07T00:00:00+0100,46260
2019-01-07T01:00:00+0100,44304
2019-01-07T02:00:00+0100,43691
2019-01-07T03:00:00+0100,44287
2019-01-07T04:00:00+0100,46200
2019-01-07T05:00:00+0100,50649
2019-01-07T06:00:00+0100,59542
2019-01-07T07:00:00+0100,66261
2019-01-07T08:00:00+0100,68960
2019-01-07T09:00:00+0100,69247
2019-01-07T10:00:00+0100,70469
2019-01-07T11:00:00+0100,71360
2019-01-07T12:00:00+0100,70861
2019-01-07T13:00:00+0100,70827
2019-01-07T14:00:00+0100,70353
2019-01-07T15:00:00+0100,69778
2019-01-07T16:00:00+0100,70582
2019-01-07T17:00:00+0100,72983
2019-01-07T18:00:00+0100,72271
2019-01-07T19:00:00+0100,69826
2019-01-07T20:00:00+0100,66773
2019-01-07T21:00:00+0100,63890
2019-01-07T22:00:00+0100,61124
2019-01-07T23:00:00+0100,57444
2019-01-08T00:00:00+0100,53755
2019-01-08T01:00:00+0100,51790
2019-01-08T02:00:00+0100,51217
2019-01-08T03:00:00+0100,51792
2019-01-08T04:00:00+0100,53483
2019-01-08T05:00:00+0100,56535
2019-01-08T06:00:00+0100,64186
2019-01-08T07:00:00+0100,70387
2019-01-08T08:00:00+0100,72913
2019-01-08T09:00:00+0100,73232
2019-01-08T10:00:00+0100,73615
2019-01-08T11:00:00+0100,73965
2019-01-08T12:00:00+0100,74062
2019-01-08T13:00:00+0100,73620
2019-01-08T14:00:00+0100,72595
2019-01-08T15:00:00+0100,72428
2019-01-08T16:00:00+0100,73340
2019-01-08T17:00:00+0100,75056
2019-01-08T18:00:00+0100,74557
2019-01-08T19:00:00+0100,72894
2019-01-08T20:00:00+0100,69352
2019-01-08T21:00:00+0100,65661
