index,substation,voltage,name,lat,lon,zone,info,demand
n3303,s3754,220,Altheim,48.637446,12.172852,DE,Substation,True
n3304,s3755,380,Marienberg,47.941187,11.979218,DE,Substation,True
n3305,s3756,380,Irsching,48.79239,11.501312,DE,Substation,True
n3306,s3757,380,Oberbachern,48.348035,11.260986,DE,Substation,True
n3307,s3758,220,Oberbrunn,48.087,11.184,DE,Substation,True
n3308,s3758,380,Oberbrunn,48.067,11.184,DE,Substation,True
n3309,s3759,380,Menzing,48.277709,11.355743,DE,Substation,True
n3310,s3760,220,Ingolstadt,48.862,11.363,DE,Substation,True
n3311,s3760,380,Ingolstadt,48.842,11.363,DE,Substation,True
n3312,s3761,380,Zolling,48.545705,11.778717,DE,Substation,True
n3313,s3762,380,Neufinsing,48.322474,11.681213,DE,Substation,True
n3314,s3763,380,FÃ¶hring,48.266741,11.589203,DE,Substation,True
n3315,s3764,380,Ottenhofen,48.314255,11.825409,DE,Substation,True
n3316,s3765,220,Sittling,48.868328,11.841888,DE,Substation,True
n3317,s3766,380,Regensburg,48.992834,12.034149,DE,Substation,True
n3318,s3767,220,Pirach,48.20088,12.628784,DE,Substation,True
n3319,s3768,380,Isar,48.659222,12.292328,DE,Substation,True
n3320,s3769,220,Simbach,48.332517,12.929535,DE,Substation,True
n3321,s3770,220,Pleinting,48.686,13.035,DE,Substation,True
n3322,s3770,380,Pleinting,48.666,13.035,DE,Substation,True
n3323,s3771,220,KrÃ¼n,47.528329,11.122284,DE,Substation,True
n3324,s3772,380,Plattling,48.801436,12.741394,DE,Substation,True
n3453,s3965,380,Wehr,47.707913,7.871704,DE,Hydro pure pump storage,False
n3454,s3966,220,Eichstetten,48.114,7.714,DE,Substation,True
n3455,s3966,380,Eichstetten,48.094,7.714,DE,Substation,True
n3456,s3967,220,KÃ¼hmoos,47.609,7.934,DE,Substation,True
n3457,s3967,380,KÃ¼hmoos,47.589,7.934,DE,Substation,True
n3458,s3968,220,Gurtweil,47.716,8.149,DE,Substation,True
n3459,s3968,380,Gurtweil,47.696,8.149,DE,Substation,True
n3460,s3969,220,Tiengen,47.66,8.205,DE,Substation,True
n3461,s3969,380,Tiengen,47.64,8.205,DE,Substation,True
n3462,s3970,380,Villingen,48.074409,8.386688,DE,Substation,True
n3463,s3971,220,Weier,48.499318,7.878571,DE,Substation,True
n3464,s3972,220,Kuppenheim,48.762526,8.245239,DE,Substation,True
n3465,s3973,380,Daxlanden,48.992834,8.423767,DE,Substation,True
n3466,s3974,220,Karlsruhe West,49.019,8.326,DE,Substation,True
n3467,s3974,380,Karlsruhe West,48.999,8.326,DE,Substation,True
n3468,s3975,220,Stockach,47.810388,8.962097,DE,Substation,True
n3469,s3976,220,Beuren,47.789171,8.791809,DE,Substation,True
n3470,s3977,380,Trossingen,48.079914,8.528137,DE,Substation,True
n3471,s3978,220,Birkenfeld,48.781533,8.567963,DE,Substation,True
n3472,s3979,380,Oberjettingen,48.516604,8.749237,DE,Substation,True
n3473,s3980,380,Engstlatt,48.244797,8.861847,DE,Substation,True
